product_id|label|value|value_min|value_max|unit|type
1000121|Type de signal|numérique||||SIMPLE
1000121|Nombre d'entrées/sorties|multivoies,4,|||canaux|LIST
1000121|Montage|sur rail DIN||||SIMPLE
1000122|Type de signal|analogique||||SIMPLE
1000122|Montage|sur rail DIN||||SIMPLE
1000123|Type de signal|numérique||||SIMPLE
1000123|Nombre d'entrées/sorties|16 canaux||||SIMPLE
1000123|Montage|à montage sur rail DIN||||SIMPLE
1000124|Type de signal|analogique||||SIMPLE
1000124|Montage|à montage sur rail DIN||||SIMPLE
1000125|Type|de données||||SIMPLE
1000125|Réseau|Bluetooth||||SIMPLE
1000125|Montage|d'extérieur||||SIMPLE
1000126|Type|de données||||SIMPLE
1000126|Réseau|GSM,GPRS,Ethernet,IP,edge,||||LIST
1000126|Application|industriel||||SIMPLE
1000126|Montage|sur rail DIN||||SIMPLE
1000126|Autres caractéristiques|avec VPN||||SIMPLE
1000127|Réseau|WAN,LAN,internet,3G,||||LIST
1000127|Autres caractéristiques|haut débit,VPN,||||LIST
1000128|Type|administrable||||SIMPLE
1000128|Nombre de ports|8 ports||||SIMPLE
1000128|Autres caractéristiques|redondant||||SIMPLE
1000128|Applications|industriel||||SIMPLE
1000129|Type|non administrable||||SIMPLE
1000129|Nombre de ports|5,8,|||ports|LIST
1000130|Interface|à écran tactile||||SIMPLE
1000130|Montage|encastrable||||SIMPLE
1000130|Processeur|VIA||||SIMPLE
1000130|Applications|de contrôle,machine,||||LIST
1000130|Taille d'écran|21.5|||in|SIMPLE
1000131|Spécifications|électronique||||SIMPLE
1000133|Spécifications|AS-i||||SIMPLE
1000134|Spécifications|pour applications mobiles,compact,||||LIST
1000135|Spécifications|numérique pour contrôleur de mouvement||||SIMPLE
1000135|Autres caractéristiques|durci,analogique,CAN Bus,||||LIST
1000136|Bus|AS-Interface,Modbus RTU,||||LIST
1000137|Type|électronique||||SIMPLE
1000137|Applications|de bus de terrain,d'E/S,||||LIST
1000138|Bus|PROFIBUS DP||||SIMPLE
1000139|Autres caractéristiques|4 x PCI||||SIMPLE
1000140|Autres caractéristiques|4 x PCI||||SIMPLE
1000176|Spécifications|numérique pour contrôleur de mouvement||||SIMPLE
1000176|Autres caractéristiques|durci,analogique,CAN Bus,||||LIST
1000177|Bus|AS-Interface,Modbus RTU,||||LIST
1000178|Type|électronique||||SIMPLE
1000178|Applications|de bus de terrain,d'E/S,||||LIST
1000179|Bus|PROFIBUS DP||||SIMPLE
1000180|Autres caractéristiques|4 x PCI||||SIMPLE
1000181|Autres caractéristiques|4 x PCI||||SIMPLE
1000182|Autres caractéristiques|4 x PCI||||SIMPLE
1000183|Spécifications|de connexion||||SIMPLE
1000184|Type|numérique / analogique||||SIMPLE
1000185|Fonction|de mesure,d'inspection,de lecture d'étiquettes à codes-barres,||||LIST
1000185|Applications|d'alignement||||SIMPLE
1000185|Type|3D,2D,||||LIST
1000186|Fonction|d'interface||||SIMPLE
1000186|Applications|d'automate programmable||||SIMPLE
1000187|Fonction|de supervision||||SIMPLE
1000187|Systeme d'exploitation|Windows||||SIMPLE
1000188|Fonction|de supervision||||SIMPLE
1000188|Systeme d'exploitation|Windows||||SIMPLE
