product_id|label|value|value_min|value_max|unit|type
1000461|Type|pneumatique||||SIMPLE
1000461|Technologie|à simple effet,double effet,||||LIST
1000461|Autres caractéristiques|standard,rond,en acier inoxydable,en aluminium,||||LIST
1000461|Course||1|500|mm|MIN_MAX
1000461|Force||24|295|N|MIN_MAX
1000462|Type|pneumatique||||SIMPLE
1000462|Technologie|à simple effet,à double effet,à tige traversante,à piston magnétique,||||LIST
1000462|Autres caractéristiques|compact,ISO,mini,de guidage,en acier inoxydable,en aluminium anodisé,||||LIST
1000462|Course||0|1,000|mm|MIN_MAX
1000462|Force||0|350|N|MIN_MAX
1000462|Vitesse||0.1|2.5|m/s|MIN_MAX
1000463|Type|pneumatique||||SIMPLE
1000463|Technologie|à simple effet,à double effet,à piston,||||LIST
1000463|Autres caractéristiques|rond,à membrane,de poinçonnage,de bridage,||||LIST
1000463|Course|80,40,50,100,60,|||mm|LIST
1000463|Force||128|25,000|N|MIN_MAX
1000464|Type|pneumatique||||SIMPLE
1000464|Technologie|à simple effet,souple,||||LIST
1000464|Autres caractéristiques|rond,à faible course,en acier inoxydable,en aluminium,||||LIST
1000464|Force||0|18,200|N|MIN_MAX
1000465|Type|pneumatique||||SIMPLE
1000465|Technologie|double effet||||SIMPLE
1000465|Autres caractéristiques|compact,ISO 21287,à détection de position,en acier,||||LIST
1000465|Course||1|500|mm|MIN_MAX
1000465|Force||51|7,363|N|MIN_MAX
1000466|Type|pneumatique||||SIMPLE
1000466|Technologie|double effet||||SIMPLE
1000466|Autres caractéristiques|compact,ISO 21287,||||LIST
1000466|Course||5|80|mm|MIN_MAX
1000466|Force||188|1,178|N|MIN_MAX
1000467|Type|pneumatique||||SIMPLE
1000467|Technologie|double effet||||SIMPLE
1000467|Autres caractéristiques|compact,ISO 21287,de fin de course,à détection de position,||||LIST
1000467|Course||10|500|mm|MIN_MAX
1000467|Force||188|4,712|N|MIN_MAX
1000468|Type|hydraulique||||SIMPLE
1000468|Technologie|double effet||||SIMPLE
1000468|Autres caractéristiques|ISO,à tirants,||||LIST
1000468|Course||0.9|4.2|m|MIN_MAX
1000468|Force||10.3|660|kN|MIN_MAX
1000468|Vitesse||0.1|0.5|m/s|MIN_MAX
1000468|Couple||10|530|Nm|MIN_MAX
1000469|Type|hydraulique||||SIMPLE
1000469|Technologie|double effet||||SIMPLE
1000469|Autres caractéristiques|ISO,rond,pousseur,||||LIST
1000469|Force||4|969|kN|MIN_MAX
1000469|Vitesse||0.1|12|m/s|MIN_MAX
1000470|Type|hydraulique||||SIMPLE
1000470|Technologie|double effet||||SIMPLE
1000470|Autres caractéristiques|compact,de blocage,à détection de position,de bridage,||||LIST
1000470|Course||0|100|mm|MIN_MAX
1000470|Force|50.3,80.4,|||kN|LIST
1000470|Vitesse||0.008|0.1|m/s|MIN_MAX
1000471|Type|pneumatique||||SIMPLE
1000471|Technologie|double effet||||SIMPLE
1000471|Autres caractéristiques|compact,ISO 21287,à détection de position,en acier,||||LIST
1000471|Course||1|500|mm|MIN_MAX
1000471|Force||51|7,363|N|MIN_MAX
1000472|Type|pneumatique||||SIMPLE
1000472|Technologie|à simple effet,à tige,||||LIST
1000472|Autres caractéristiques|compact,ISO 21287,en acier,||||LIST
1000472|Course||1|25|mm|MIN_MAX
1000472|Force||59|4,510|N|MIN_MAX
1000473|Type|pneumatique||||SIMPLE
1000473|Technologie|double effet||||SIMPLE
