product_id|model|label|description|category_id|brand|image|status
1000001|SFAW|capteur de débit pour liquide / à sortie numérique|Plages de mesure de débit 0... 32 l/min 0... 100 l/min Sortie TOR au choix 2x NPN ou 2x PNP ou IO-Link Sortie analogique 0... 10V 1... 5V 4... 20 mA|10101|festo|http://img.directindustry.fr/images_di/photo-mg/4735-9558603.jpg|TO_PROCESS
1000002|SFAB|capteur de débit thermique / d'air / à sortie numérique|Plages de mesure de débit 0,1 ... 10 l/min 0,5 ... 50 l/min 2 ... 200 l/min 6 ... 600 l/min 10 ... 1000 l/min Sortie TOR 2x NPN 2x PNP Sortie analogique 0 ... 10V 4 ... 20 mA Caractéristiques spécifiques: Affichage orientable avec LED très lumineuses pour une visualisation optimale Sortie d'impulsion librement sélectionnable pour mesure de la consommation|10101|festo|http://img.directindustry.fr/images_di/photo-mg/4735-9559353.jpg|TO_PROCESS
1000003|SFAM|capteur de débit thermique / d'air / à sortie numérique|Plages de mesure de débit 10 ... 1000 l/min 30 ... 3000 l/min 50 ... 5000 l/min Sortie TOR 2x NPN 2x PNP Sortie analogique 0 ... 10V 4 ... 20 mA Caractéristiques spécifiques: Affichage orientable avec LED très lumineuses pour une visualisation optimale Compatible et intégrable avec le traitement d'air de la série MS6|10101|festo|http://img.directindustry.fr/images_di/photo-mg/4735-9559159.jpg|TO_PROCESS
1000004|SFE3|capteur de débit d'air / à sortie numérique|Plage de mesure de débit 0,05 ... 50 l/min Sortie TOR 2x PNP 2x NPN Sortie analogique 0 ... 5 V Pression -0.7 ... 7 bar Affichage numérique intégré|10101|festo|http://img.directindustry.fr/images_di/photo-mg/4735-9559405.jpg|TO_PROCESS
1000005|Easiflow, Flowline, LoFlow series|débitmètre à flotteur / pour eau / pour huile / sans contact|Débitmètres Easiflow, Flowline, LoFlowEasiflow : avec ou sans contact, pour l'eau ou l'huile. Débits de 1 à 150 l/min. Pression maximum de 10 bar. Fonctionnent dans n'importe quel plan. Flowline : débits jusqu'à 350 l/min, pression maximum de 350 bar. LoFlow : débits de 0,01 à 22 l/min, pression maximum de 10 bar.|10104|Parker|http://img.directindustry.fr/images_di/photo-mg/37138-12145908.jpg|TO_PROCESS
1000006|CCES|compteur volumétrique / numérique / électronique / pour montage sur panneau|Afficheur LCD à 8 caractères Alimentation électrique autonome Pour montage en panneau Raccordement avec barrette de fixation Touche de rappel en position initiale.|10105|festo|http://img.directindustry.fr/images_di/photo-mg/4735-9555983.jpg|TO_PROCESS
1000007|SPAE|capteur de pression relative / à vide / piézorésistif / numérique|Capteur de pression Capteur de vide Plage de mesure de la pression -1 à 10 bar Tension 18 ... 30 V CC Sortie TOR PNP/NPN, commutable Normalement fermé/Normalement ouvert, commutable Caractéristiques spécifiques: Interface de communication IO-Link|10107|festo|http://img.directindustry.fr/images_di/photo-mg/4735-9556653.jpg|TO_PROCESS
1000008|SPAW|capteur de pression relative / piézorésistif / numérique / fileté|Plage de pression mesurable -1… +1 jusqu'à 0… 100 bar Tension 15… 35 V CC Sortie TOR 2x PNP ou 2x NPN Sortie électrique 0,1… 10 V, 4… 20 mA Raccordement pneumatique G1/4 Capteur de pression Capteur de vide. Caractéristiques spécifiques: Boîtier orientable à 320°, affichage orientable sur 45°|10107|festo|http://img.directindustry.fr/images_di/photo-mg/4735-9556665.jpg|TO_PROCESS
1000009|SDE3|capteur de pression relative / différentielle / piézorésistif / à sortie numérique|Capteur de pression Capteur de vide Mesure de pression différentielle Raccordement pneumatique QS-4 Caractéristiques spécifiques: LCD lumineux à affichage optimisé Protection IP67 Variante ATEX|10107|festo|http://img.directindustry.fr/images_di/photo-mg/4735-9558467.jpg|TO_PROCESS
1000010|81 504 025|capteur de pression|Reconnu depuis plus de 50 ans pour la qualité de ses produits, Crouzet Control vous propose de découvrir l’ensemble de son offre de produits Pneumatiques en atmosphères industrielle et explosible. Pour anticiper les évolutions du marché et de vos besoins, Crouzet Control développe des composants et des solutions d’automatismes, standards ou spécifiques, répondant à toutes vos applications tertiaires ou industrielles ainsi qu’aux exigences des constructeurs de machines et d’équipements automatisés.|10107|crouzet|http://img.directindustry.fr/images_di/photo-mg/7457-11406593.jpg|TO_PROCESS
