product_id|label|value|value_min|value_max|unit|type
1000349|Configuration|murale||||SIMPLE
1000349|Autres caractéristiques|free cooling||||SIMPLE
1000349|Puissance de refroidissement||6|15|W|MIN_MAX
1000106|Technologie|proportionnel||||SIMPLE
1000108|Applications|pour la domotique||||SIMPLE
1000109|Interface|à écran tactile||||SIMPLE
1000109|Montage|à montage VESA||||SIMPLE
1000109|Résolution|800 x 480,1024 x 768,480 x 272,||||LIST
1000109|Processeur|ARM Cortex-A8||||SIMPLE
1000109|Autres caractéristiques|TFT LCD,TCP/IP,Modbus,||||LIST
1000109|Applications|de contrôle||||SIMPLE
1000109|Taille d'écran|10,7,4.3,|||in|LIST
1000110|Interface|à écran tactile||||SIMPLE
1000110|Montage|à montage VESA||||SIMPLE
1000110|Résolution|800 x 480,480 x 272,||||LIST
1000110|Processeur|ARM Cortex-A8||||SIMPLE
1000110|Autres caractéristiques|TFT LCD,sans ventilateur,programmable,RS422/RS485,Modbus,||||LIST
1000110|Applications|d'affichage||||SIMPLE
1000110|Taille d'écran|7,4.3,|||in|LIST
1000111|Mesurande|de process||||SIMPLE
1000111|Affichage|numérique||||SIMPLE
1000111|Type|pour montage sur panneau||||SIMPLE
1000112|Mesurande|de process||||SIMPLE
1000112|Affichage|numérique||||SIMPLE
1000112|Type|pour montage sur panneau||||SIMPLE
1000113|Mesurande|de température||||SIMPLE
1000113|Affichage|numérique||||SIMPLE
1000113|Type|pour montage sur panneau||||SIMPLE
1000114|Mesurande|de débit||||SIMPLE
1000114|Affichage|numérique||||SIMPLE
1000115|Type|LCD||||SIMPLE
1000115|Format|17 segments||||SIMPLE
1000116|Type|binaire,tachymètre,de lots,||||LIST
1000116|Affichage|numérique||||SIMPLE
1000116|Technologie|électronique||||SIMPLE
1000116|Autres caractéristiques|multifonction,à présélection,||||LIST
1000117|Type|binaire||||SIMPLE
1000117|Affichage|numérique||||SIMPLE
1000117|Technologie|électronique||||SIMPLE
1000117|Autres caractéristiques|à présélection,multifonction,||||LIST
1000118|Type|horaire||||SIMPLE
1000118|Affichage|numérique||||SIMPLE
1000118|Technologie|électromécanique||||SIMPLE
1000119|Type|horaire||||SIMPLE
1000119|Affichage|numérique||||SIMPLE
1000119|Technologie|électromécanique||||SIMPLE
1000119|Autres caractéristiques|multifonction||||SIMPLE
1000120|Type|horaire||||SIMPLE
1000120|Technologie|électromécanique||||SIMPLE
1000121|Type|d'énergie||||SIMPLE
1000121|Affichage|numérique,analogique,||||LIST
1000121|Technologie|électronique||||SIMPLE
1000121|Autres caractéristiques|sur rail DIN||||SIMPLE
1000122|Technologie|pneumatique||||SIMPLE
1000123|Type|volumétrique||||SIMPLE
1000123|Affichage|numérique||||SIMPLE
1000123|Technologie|électronique||||SIMPLE
1000123|Autres caractéristiques|pour montage sur panneau||||SIMPLE
1000124|Type|tension / courant||||SIMPLE
1000125|Type de signal|numérique,analogique,||||LIST
1000125|Nombre d'entrées/sorties|4 canaux||||SIMPLE
1000125|Montage|à montage sur rail DIN||||SIMPLE
1000125|Autres caractéristiques|antidéflagrant||||SIMPLE
1000126|Type de signal|numérique||||SIMPLE
1000126|Bus|Ethernet,série,BACnet,||||LIST
1000126|Type|décentralisées||||SIMPLE
1000126|Autres caractéristiques|compact||||SIMPLE
1000127|Type|administrable||||SIMPLE
1000127|Nombre de ports|8 ports||||SIMPLE
1000127|Autres caractéristiques|redondant||||SIMPLE
1000127|Applications|industriel||||SIMPLE
1000128|Type|administrable||||SIMPLE
1000128|Nombre de ports|5 ports||||SIMPLE
1000128|Autres caractéristiques|redondant,SFP+,robuste,||||LIST
1000128|Applications|industriel||||SIMPLE
1000129|Autres caractéristiques|pour zone dangereuse,de basse fréquence,||||LIST
1000129|Domaine|industriel||||SIMPLE
1000130|Autres caractéristiques|à grande vitesse||||SIMPLE
1000130|Applications produit|pour éolienne,pour centrale,||||LIST
1000130|Domaine|industriel||||SIMPLE
1000131|Type|de mesure,de courant,||||LIST
1000131|Construction|encapsulé||||SIMPLE
1000131|Autres caractéristiques|ouvrable,sur rail DIN,||||LIST
1000131|Courant||0|6,000|A|MIN_MAX
1000132|Type|de mesure,de courant,||||LIST
1000132|Construction|encapsulé||||SIMPLE
1000132|Autres caractéristiques|ouvrable,sur rail DIN,||||LIST
1000132|Courant||50|4,000|A|MIN_MAX
1000133|Type|de courant,de mesure,||||LIST
1000133|Construction|encapsulé||||SIMPLE
1000133|Autres caractéristiques|toroïdal,embrochable,en boîtier plastique,basse tension,||||LIST
1000133|Courant||50|2,500|A|MIN_MAX
1000133|Tension primaire||230|400|V|MIN_MAX
1000133|Tension secondaire|690|||V|SIMPLE
1000134|Type|de mesure,de courant,||||LIST
1000134|Construction|encapsulé||||SIMPLE
1000134|Autres caractéristiques|ouvrable,sur rail DIN,||||LIST
1000134|Courant||0|6,000|A|MIN_MAX
1000135|Type|de mesure,de courant,||||LIST
1000135|Construction|encapsulé||||SIMPLE
1000135|Autres caractéristiques|ouvrable,sur rail DIN,||||LIST
1000135|Courant||50|4,000|A|MIN_MAX
1000136|Type|de courant,de mesure,||||LIST
1000136|Construction|encapsulé||||SIMPLE
1000136|Autres caractéristiques|toroïdal,embrochable,en boîtier plastique,basse tension,||||LIST
1000136|Courant||50|2,500|A|MIN_MAX
1000136|Tension primaire||230|400|V|MIN_MAX
1000136|Tension secondaire|690|||V|SIMPLE
1000140|Spécification électrique|triphasé||||SIMPLE
1000140|Construction|isolé à l'air||||SIMPLE
1000140|Applications|pour distribution électrique||||SIMPLE
1000140|Courant||83|833|A|MIN_MAX
1000140|VAC||120|208|V|MIN_MAX
1000176|Applications|industriel||||SIMPLE
1000176|Puissance|120|||W|SIMPLE
1000176|Tension|48|||V|SIMPLE
1000176|Puissance kVA|||||SIMPLE
1000177|Technologie|parallèle||||SIMPLE
1000177|Spécification électrique|DC||||SIMPLE
1000177|Applications|industriel||||SIMPLE
1000177|Autre caractéristique|sur condensateur||||SIMPLE
1000177|Tension|24|||V|SIMPLE
1000177|Puissance kVA|5,2.5,|||kW|LIST
1000178|Technologie|parallèle||||SIMPLE
1000178|Spécification électrique|DC||||SIMPLE
1000178|Applications|industriel||||SIMPLE
1000178|Autre caractéristique|sur rail DIN||||SIMPLE
1000178|Puissance kVA|||||SIMPLE
1000179|Technologie|parallèle||||SIMPLE
1000179|Spécification électrique|DC||||SIMPLE
1000179|Applications|industriel||||SIMPLE
1000179|Puissance kVA|||||SIMPLE
1000180|Technologie|off-line||||SIMPLE
1000180|Applications|industriel||||SIMPLE
1000181|Technologie|off-line||||SIMPLE
1000181|Spécification électrique|DC||||SIMPLE
1000181|Applications|pour batterie||||SIMPLE
1000181|Autre caractéristique|sur rail DIN||||SIMPLE
1000181|Tension|24|||V|SIMPLE
1000182|Type|lithium fer phosphate||||SIMPLE
1000182|Forme|modulaire||||SIMPLE
1000182|Autres caractéristiques|sans entretien||||SIMPLE
1000182|Tension|48|||V|SIMPLE
1000183|Type|plomb||||SIMPLE
