product_id|model|label|description|category_id|brand|image|status
1000056|HAGER|détecteur de mouvement / infrarouge passif / de plafond|Détecteurs de mouvement et de présence Ces détecteurs sensibles au rayonnement infrarouge, détectent le passage et la présence de personnes et commandent en automatique un éclairage.|10320|hager|1541250744316-eb0e834e-5560-4a18-a748-f5decd34d584|DONE
1000057|SOPA|capteur d'entrefer|Plage de détection 20 … 200 µm Pression 4 … 7 bar Sorties de commutation PNP ou NPN Fonction d'éjection par jet d'air intégrée Afficheur LCD multi-couleur Air comprimé filtré, lubrifié ou non lubrifié Rail DIN, montage sur panneau, passe-cloison|10320|festo|1541250748130-8cfd2702-df18-466a-bba3-ed81085a0d3b|DONE
1000058|IcountPD|détecteur de particules / pour fluide hydraulique / pour applications hydrauliques|Dtecteurs de particules Icount PD Dtecteur de particules pour l'analyse en ligne de la pollution des fluides hydrauliques. Mesure de teneur en eau en option. Affichage digital ou LED. Pression maximum : 420 bar. Une solution conomique pour prolonger la dure de vie du fluide et du systme.|10524|Parker|1541250752099-22ed98ca-b98c-4dfc-88d0-89a9e1ceb647|DONE
1000059|icount PDR|détecteur de particules / robuste / pour liquide|Détecteur de particules icount PDR - version robusteDétecteur de particules pour l'analyse en ligne de la pollution des fluides dans les environnements agressifs.|10524|Parker|1541250755716-4a167b3d-6373-499f-95cb-15c6115bae9d|DONE
1000060|89750183|capteur de lumière|Branchement direct, sans convertisseur, sur entrée analogique Solution économique de contrôle de lumière Domaines d’utilisation : gestion de l’éclairage, économies d’énergie|10524|crouzet|1541250759244-93ee1aba-9201-411b-b2b0-94d8caa8478c|DONE
1000061|270 x 77 x 58 mm, 3 m # Guardian2|détecteur de mouvement / radar|GUARDIAN 2 est un détecteur destiné aux portes piétonnes coulissantes. Il combine une zone de détection de mouvement et une zone de détection de pré sence (sécurité). Le détecteur repose sur la technologie de caméra CMOS. La détection est basée sur le traitement dimages. La zone de mouvement réagit uniquement aux mouvements, tandis que la zone de présence réagit à la fois aux mouvements et à la présence dun objet ou dune personne. La zone de mouvement peut être occultée dans les trois sens (avant, gauche et droite) afin de ne pas détecter des objets indésirables. La zone de présence est mémorisée dans le détecteur grâce à la reconnaissance de cibles placées dans louverture durant la phase de configuration - il s'adaptera à la forme d'une porte coulissante cintrée ou droite. Par ailleurs, la zone de présence sadapte au cadre environnant pour fonctionner dans différentes conditions météorologiques. Le détecteur est doté de sorties séparées pour les zones de mouvement et de présence ainsi que dune entrée test qui permet de contrôler le fonctionnement du détecteur à chaque cycle douverture de la porte.|10524|CARLO GAVAZZI|1541250762944-7c63cf44-de4f-4317-984e-69c8c1c95b47|DONE
1000062|24.125 GHz|détecteur de mouvement / radar|Le radar de mouvement Motion Radar Sensors (RAD) de Carlo Gavazzi utilise la bande de fréquence K-band (24.125GHz) et peut être utilisé pour l'ouverture de tout type de portes industrielles (portes coulissantes, portes rapides, etc.), pour applications commerciales et piétonnières. Deux modèles sont disponibles : bidirectionnel (détection du mouvement vers le radar ou provenant du radar) ou uni et bi-directionnel (détection du mouvement vers et/ou s'éloignant du capteur).|10524|CARLO GAVAZZI|1541250766453-610161d0-f0f4-44cc-a955-0a035b6d1530|DONE
1000063|.|détecteur de mouvement / infrarouge passif / mural|Détecteurs de mouvement et de présence Ces détecteurs sensibles au rayonnement infrarouge, détectent le passage et la présence de personnes et commandent en automatique un éclairage.|10524|hager|1541250770241-466f16ac-6b40-4680-af5b-158ceb4272f3|DONE
1000064|HAGER|détecteur de mouvement / infrarouge passif / de plafond|Détecteurs de mouvement et de présence Ces détecteurs sensibles au rayonnement infrarouge, détectent le passage et la présence de personnes et commandent en automatique un éclairage.|10524|hager|1541250773770-234f3781-27a7-468f-af1e-52c4a31bf6c1|DONE
1000065|SOPA|capteur d'entrefer|Plage de détection 20 … 200 µm Pression 4 … 7 bar Sorties de commutation PNP ou NPN Fonction d'éjection par jet d'air intégrée Afficheur LCD multi-couleur Air comprimé filtré, lubrifié ou non lubrifié Rail DIN, montage sur panneau, passe-cloison|10524|festo|1541250777257-4e30261f-c23b-4ec2-b2f4-3d5eeaf2e875|DONE
1000066|SM001|multimètre numérique / sur rail DIN / industriel|Caractéristiques techniques Classe de précision: 0.5% Tension assignée d’emploi en alternatif: 184/230/276 Fréquence assignée: 50/60 Hz Puissance consommée: 0,5 VA Section de raccordement en câble rigide: 1,5 / 10mm² Section de raccordement en câble souple: 1 / 6mm² Plage de mesure de courant: 0,1 à 6 Plage de mesure de tension: 35 à 480 V Température de fonctionnement: -15 à 50 °C Température de stockage: -20 à 70 °C Indice de protection IP: 30 Nombre de modules: 4|10601|hager|1541250780907-f13748f1-b685-494d-9679-d8f96e5cb918|DONE
1000067|max. 80 V # WM14 series|analyseur pour réseau électrique / de puissance / à intégrer|Les systèmes de gestion d'énergie Carlo Gavazzi fournissent des informations afin que les opérateurs puissent identifier les tendances de consommation et prendre des mesures correctives. Selon la puissance consommée, les opérateurs peuvent également regrouper les charges et donc négocier de meilleurs tarifs avec les fournisseurs d'électricité. Le suivi en temps réel permet également au gestionnaire de site d'anticiper les conditions de surcharge comme par exemple le déclenchement d'un disjoncteur. Les alarmes peuvent être définies pour avertir le gestionnaire si les limites fixées sont atteintes. Les solutions pour la gestion dénergie Carlo Gavazzi répondent aux exigences des bâtiments commerciaux, des installations de production, de l'industrie, des services et des infrastructures.|10605|CARLO GAVAZZI|1541250784550-629ea57b-f689-4c16-a8ce-ca4e20799a01|DONE
1000068|EM series|compteur d'énergie électrique monophasé / sur rail DIN|Les systèmes de gestion d'énergie Carlo Gavazzi fournissent des informations afin que les opérateurs puissent identifier les tendances de consommation et prendre des mesures correctives. Selon la puissance consommée, les opérateurs peuvent également regrouper les charges et donc négocier de meilleurs tarifs avec les fournisseurs d'électricité. Le suivi en temps réel permet également au gestionnaire de site d'anticiper les conditions de surcharge comme par exemple le déclenchement d'un disjoncteur. Les alarmes peuvent être définies pour avertir le gestionnaire si les limites fixées sont atteintes. Les solutions pour la gestion dénergie Carlo Gavazzi répondent aux exigences des bâtiments commerciaux, des installations de production, de l'industrie, des services et des infrastructures.|10606|CARLO GAVAZZI|1541250788465-4bfbb8c5-c444-4442-a0e5-70e5cbe27bb8|DONE
1000069|70 - 830 V, max. 10 A # EM series|analyseur pour réseau électrique / de qualité d'énergie / à intégrer|Les systèmes de gestion d'énergie Carlo Gavazzi fournissent des informations afin que les opérateurs puissent identifier les tendances de consommation et prendre des mesures correctives. Selon la puissance consommée, les opérateurs peuvent également regrouper les charges et donc négocier de meilleurs tarifs avec les fournisseurs d'électricité. Le suivi en temps réel permet également au gestionnaire de site d'anticiper les conditions de surcharge comme par exemple le déclenchement d'un disjoncteur. Les alarmes peuvent être définies pour avertir le gestionnaire si les limites fixées sont atteintes. Les solutions pour la gestion dénergie Carlo Gavazzi répondent aux exigences des bâtiments commerciaux, des installations de production, de l'industrie, des services et des infrastructures.|10613|CARLO GAVAZZI|1541250792061-1a961fb6-c091-4e63-a717-7e8fa270168c|DONE
1000070|max. 80 V # WM14 series|analyseur pour réseau électrique / de puissance / à intégrer|Les systèmes de gestion d'énergie Carlo Gavazzi fournissent des informations afin que les opérateurs puissent identifier les tendances de consommation et prendre des mesures correctives. Selon la puissance consommée, les opérateurs peuvent également regrouper les charges et donc négocier de meilleurs tarifs avec les fournisseurs d'électricité. Le suivi en temps réel permet également au gestionnaire de site d'anticiper les conditions de surcharge comme par exemple le déclenchement d'un disjoncteur. Les alarmes peuvent être définies pour avertir le gestionnaire si les limites fixées sont atteintes. Les solutions pour la gestion dénergie Carlo Gavazzi répondent aux exigences des bâtiments commerciaux, des installations de production, de l'industrie, des services et des infrastructures.|10613|CARLO GAVAZZI|1541250795588-18fbf1a8-a534-428e-b0b5-7a6b265da820|DONE
1000351|MSB9|unité de traitement d'air|Un débit 600 % plus élevé ? La nouvelle taille MS9, qui a une taille de raccordement de 1"", complète les unités de traitement d'air de la série MS Taille MS9 avec les filtres fins, les filtres ultra-fins et les filtres à charbon actif Vos avantages : * Efficacité maximale grâce à un mélange de tailles économique * Plus grande longévité des filtres fins et ultra-fins grâce à la préfiltration avec le nouveau filtre MS9-LF * Economique : différentes qualités d'air comprimé par l'intermédiaire du module de répartiteur FRM|130138|festo|1541250670349-48e176ef-0f91-49da-8b1f-820daec5c384|DONE
1000352|D-Reihe|unité de traitement d'air|* Taille MICRO, MINI, MIDI, MAXI * Raccord M5, M7, G1/8, G1/4, G3/8, G1/2, G3/4, G1, QS4, QS6, livrable également avec filetage NPT * Pression 0,5 ... 7 bars, 0,5 ... 12 bars, 2,5 ... 12 bars * Débit 90 ... 8 700 l/min * Manomètre o avec manomètre o sans manomètre * Finesse du filtre 40µm, 5µm * Purgeur de condensats o manuel o semi-automatique o entièrement automatique * Cuve plastique avec protection métallique * Lubrificateur proportionnel|130138|festo|1541250674598-d916681e-4b33-4055-8490-ac412a85a06e|DONE
1000353|Uniflair LE|refroidisseur d'air|Solutions de refroidissement haute précision conçues spécifiquement pour maintenir la température et l'humidité dans des marges de tolérance extrêmement serrées. Parfaitement adaptés pour les charges informatiques montées en rack ou non, ces produits répondent aux différentes contraintes des datacenters. Ces unités intelligentes surveillent l'état des composants et le paramètre environnemental pour garantir un fonctionnement correct dans tous les modes opératoires. Les produits Uniflair LE, quand ils sont associés à des solutions de confinement des allées chaudes ou froides, peuvent améliorer l'efficacité et permettre des densités plus élevées.|130138|schneider|1541250678263-ab12cdc8-0cac-4c8c-b11e-31547da1fd9a|DONE
1000354|EcoBreeze|refroidisseur d'air|EcoBreeze™ est un produit préfabriqué et testé conçu pour répondre aux besoins croissants de rendement des datacenters. EcoBreeze offre plusieurs modes d'économie afin d'optimiser le rendement énergétique sur l'année. Il peut en outre utiliser un circuit de refroidissement mécanique supplémentaire de façon que le datacenter reste au point de refroidissement fixé, même dans les pires conditions ambiantes. Disponible dans un boîtier ISO de 6 m ou 12 m, il se présente sous un format modulaire qui permet de le faire évoluer par incréments de 50 kW pour atteindre jusqu'à 400 kW de capacité de refroidissement totale. Les contrôles intelligents et les composants redondants d'EcoBreeze assurent la fiabilité et la disponibilité de l'appareil quelle que soit l'évolution des conditions ambiantes.|130138|schneider|1541250682093-42098a22-41ed-4583-9a0a-689f8faafa75|DONE
1000355|Uniflair AM|refroidisseur d'air|Cette unité de refroidissement discrète périmétrique apporte une véritable climatisation adaptée à l'étendue et au budget des applications de plus petite envergure. Idéales pour les charges informatiques montées en rack ou non. Le faible encombrement, incluant des composants internes accessibles par l'avant, répond aux diverses contraintes des espaces informatiques de moindre envergure, notamment les salles informatiques, les salles de télécommunication et les salles de commande. Le contrôle de la vitesse des ventilateurs permet d'adapter le débit d'air à l'application, et le contrôleur de microprocesseur permet de contrôler la température avec précision.|130138|schneider|1541250685769-9ec90861-ea27-4323-8f47-a39c1deeb3c0|DONE
1000356|Uniflair MW|refroidisseur d'air|Uniflair WM est une unité de refroidissement complètement autonome, il n'est donc pas nécessaire d'ajouter un échangeur de chaleur distant. Ces unités rapidement déployables ne requièrent qu'un simple câblage électrique et un montage sous abri. Disponibles en configuration de refroidissement naturel, elles sont équipées de registres motorisés pour utiliser l'air extérieur afin de renforcer le refroidissement de l'espace informatique.|130138|schneider|1541250689478-5876786f-cd6d-4e38-99d2-7fa1b53defdb|DONE
1000357|Uniflair MB|refroidisseur d'air|Uniflair MB est une unité de refroidissement à montage mural installée à l'extérieur d'un espace climatisé, comme une armoire de télécommunication. Ces unités sont complètement autonomes, elles sont expédiées entièrement chargées et il n'est pas nécessaire d'ajouter un échangeur de chaleur distant. Elles sont rapidement déployables et ne requièrent qu'un simple câblage électrique et un montage sous abri. Disponibles en configuration de refroidissement naturel, ces unités sont équipées de registres motorisés pour utiliser l'air extérieur afin de renforcer le refroidissement de l'espace informatique.|130138|schneider|1541250693232-75e04852-7cfc-4465-9e19-279041b3ca4b|DONE
1000358|HAGER|projecteur halogène / avec détecteur de mouvement|Détecteurs de mouvement et de présence Ces détecteurs sensibles au rayonnement infrarouge, détectent le passage et la présence de personnes et commandent en automatique un éclairage.|130144|hager|1541250696819-58d5d168-5a0d-41c7-b09a-9655c8adb6c4|DONE
1000071|FOCS|capteur de courant à fibre optique / à pince / DC|La sonde courante FOCS de fibre optique mesure des courants de C.C facilement avec les sondes courantes optiques de fibre fortement précise qui sont spécifiquement faites pour examiner les courants élevés de C.C. Avec des caractéristiques techniques faciles et flexibles. A un effet magnéto-optique ou l'effet de faraday en de fibre optique fini simple autour du conducteur désiré, le FOCS peut mesurer les courants continus ou bidirectionnels de C.C de ka jusqu'à 500 avec 0.1% valeur mesurée. Il garantit l'installation, l'assemblée et le transport rapides et faciles avec de haute résistance aux perturbations électromagnétiques dues à la mesure optique. Il donne également le calcul de précision et d'efficacité d'usine qui adapte idéalement n'importe quel environnement.|10622|abb|1541250670949-0815e307-97b6-4dcc-bf6c-8aea9fb69487|DONE
1000072|EM series|compteur d'énergie électrique monophasé / sur rail DIN|Les systèmes de gestion d'énergie Carlo Gavazzi fournissent des informations afin que les opérateurs puissent identifier les tendances de consommation et prendre des mesures correctives. Selon la puissance consommée, les opérateurs peuvent également regrouper les charges et donc négocier de meilleurs tarifs avec les fournisseurs d'électricité. Le suivi en temps réel permet également au gestionnaire de site d'anticiper les conditions de surcharge comme par exemple le déclenchement d'un disjoncteur. Les alarmes peuvent être définies pour avertir le gestionnaire si les limites fixées sont atteintes. Les solutions pour la gestion dénergie Carlo Gavazzi répondent aux exigences des bâtiments commerciaux, des installations de production, de l'industrie, des services et des infrastructures.|10622|CARLO GAVAZZI|1541250674852-12258a78-5ee5-48cb-a732-fd817808b3df|DONE
1000073|JUMPFLEX® 857 series|transducteur de courant à transformateur / sur rail DIN / AC / DC|Les 857 séries de JUMPFLEX® sont la plus nouvelle ligne de WAGO des amplificateurs et des capteurs de bonne qualité et faciles à utiliser d'isolement. Ces dispositifs qui peuvent résister à une température ambiante de -25 à +70°C te permettent d'ajuster et amplifier des signaux dans une variété décente d'environnements. Cette série de situation actuelle comporte une variété de possibilités et de composants comprenant, de pleines possibilités de jumpering, une unité de commande démontable, une technologie variable de raccordement qui peut être branchée, fixé ou vider, un éventail d'options d'inscription, aussi bien qu'une variété de possibilités de raccordement. Grâce à ces possibilités et technologies, les dispositifs séries du JUMPFLEX® de WAGO de 857 permet à l'utilisateur d'augmenter la disponibilité de machine et de système près efficacement et efficacement augmentant la qualité du signal avec la facilité relative.|10622|wago|1541250679051-3f166fc8-0e9f-4dbd-9eaf-169a904a377a|DONE
1000074|IcountPD|détecteur de particules / pour fluide hydraulique / pour applications hydrauliques|Dtecteurs de particules Icount PD Dtecteur de particules pour l'analyse en ligne de la pollution des fluides hydrauliques. Mesure de teneur en eau en option. Affichage digital ou LED. Pression maximum : 420 bar. Une solution conomique pour prolonger la dure de vie du fluide et du systme.|10623|Parker|1541250683149-53440a91-5ac9-4f80-9fee-9e4c8a63f7ff|DONE
1000075|icount PDR|détecteur de particules / robuste / pour liquide|Détecteur de particules icount PDR - version robusteDétecteur de particules pour l'analyse en ligne de la pollution des fluides dans les environnements agressifs.|10623|Parker|1541250686860-aa8f6ee8-c6ff-49ba-8760-279d414ea545|DONE
1000076|89750183|capteur de lumière|Branchement direct, sans convertisseur, sur entrée analogique Solution économique de contrôle de lumière Domaines d’utilisation : gestion de l’éclairage, économies d’énergie|10623|crouzet|1541250690982-918d1019-2bdc-4347-bdc7-6c8b54b7a472|DONE
1000077|270 x 77 x 58 mm, 3 m # Guardian2|détecteur de mouvement / radar|GUARDIAN 2 est un détecteur destiné aux portes piétonnes coulissantes. Il combine une zone de détection de mouvement et une zone de détection de pré sence (sécurité). Le détecteur repose sur la technologie de caméra CMOS. La détection est basée sur le traitement dimages. La zone de mouvement réagit uniquement aux mouvements, tandis que la zone de présence réagit à la fois aux mouvements et à la présence dun objet ou dune personne. La zone de mouvement peut être occultée dans les trois sens (avant, gauche et droite) afin de ne pas détecter des objets indésirables. La zone de présence est mémorisée dans le détecteur grâce à la reconnaissance de cibles placées dans louverture durant la phase de configuration - il s'adaptera à la forme d'une porte coulissante cintrée ou droite. Par ailleurs, la zone de présence sadapte au cadre environnant pour fonctionner dans différentes conditions météorologiques. Le détecteur est doté de sorties séparées pour les zones de mouvement et de présence ainsi que dune entrée test qui permet de contrôler le fonctionnement du détecteur à chaque cycle douverture de la porte.|10623|CARLO GAVAZZI|1541250694846-0703d4c7-86d7-47fe-b379-8552c31b7701|DONE
1000078|24.125 GHz|détecteur de mouvement / radar|Le radar de mouvement Motion Radar Sensors (RAD) de Carlo Gavazzi utilise la bande de fréquence K-band (24.125GHz) et peut être utilisé pour l'ouverture de tout type de portes industrielles (portes coulissantes, portes rapides, etc.), pour applications commerciales et piétonnières. Deux modèles sont disponibles : bidirectionnel (détection du mouvement vers le radar ou provenant du radar) ou uni et bi-directionnel (détection du mouvement vers et/ou s'éloignant du capteur).|10623|CARLO GAVAZZI|1541250698505-546b82c8-d65e-4716-bafa-e877d0cbea1d|DONE
1000079|LG series|pompe pour ammoniac / pour GPL / électrique / auto-amorçante|Les modèles de pompes LGL 1,25 pouces à 4 pouces sont équipés de chemises de suppression du bruit. Cette technologie brevetée réduit le bruit à sa source en réduisant le niveau de cavitation dans la pompe. La réduction de la cavitation réduit également les vibrations et l’usure. L’implosion soudaine de bulles de vapeur à l’intérieur de la pompe est le phénomène appelé cavitation. En permettant à une quantité contrôlée de fluide à la pression de refoulement de s’échapper vers l’aspiration de la pompe, l’implosion des bulles de vapeur s’étend sur une plus longue période. Il en résulte une réduction du bruit, des vibrations et de l’usure. Comme l’illustre le graphe, la réduction du niveau de bruit peut être très importante. Des réductions de bruit similaires ont été mesurées avec les pompes LGL de toutes tailles|20108|blackmer|1541250702212-f9947bb1-162e-43a6-b444-61b67b7728f9|DONE
1000080|ProVane® series|pompe pour produits chimiques / électrique / auto-amorçante / à palettes|Des vitesses maintenant plus élevées et de plus grandes capacités dans une pompe de palette de vitesse de moteur sont disponibles avec la nouvelle série de vitesse de moteur de pompe de Blackmer ProVane®, spécifiquement conçue pour des applications de processus où l'efficacité, l'exécution et la valeur sont désirées. La série de vitesse de moteur de pompe de Blackmer ProVane® élimine le besoin de réducteur de transmission, fournit la fiabilité améliorée, nettement réduit ou élimine l'entretien préventif, et le fonctionnement d'offres accélère à 3600rpm des capacités de 6 à 100 gal/mn des États-Unis (23 à 379 LPM) dans les tailles s'étendant de 3/4 "" à 2 "".|20108|blackmer|1541250706446-5cf67b74-dac6-4ee9-8128-e3914121fd83|DONE
1000081|Parker Hannifin France SAS|viscosimètre|Outil de surveillance de viscosité des lubrifiantsDes résultats précis à 40, 50 ou 100 degrés.|20223|Parker|1541250710100-7ca93fd5-474f-4e5b-9d9d-fec9fda80dd7|DONE
1000082|270 x 77 x 58 mm, 3 m # Guardian1|capteur de vision|GUARDIAN 1 est un détecteur destiné aux portes piétonnes coulissantes. Il combine une zone de détection de mouvement et une zone de détection de présence (sécurité). Le détecteur repose sur la technologie de caméra CMOS. La détection est basée sur le traitement dimages. La zone de mouvement réagit uniquement aux mouvements, tandis que la zone de présence réagit à la fois aux mouvements et à la présence dun objet ou dune personne. La zone de mouvement peut être occultée dans les trois sens (avant, gauche et droite) afin de ne pas détecter des objets indésirables. La zone de présence est mémorisée dans le détecteur grâce à la reconnaissance de cibles placées dans louverture durant la phase de configuration. Par ailleurs, la zone de présence sadapte au cadre environnant pour fonctionner dans différentes conditions météorologiques. Le détecteur est doté de sorties séparées pour les zones de mouvement et de présence ainsi que dune entrée test qui permet de contrôler le fonctionnement du détecteur à chaque cycle douverture de la porte.|20308|CARLO GAVAZZI|1541250713975-ee5a1caf-8046-4dcb-8e0b-5c1768623a4c|DONE
1000083|SBSI|capteur de vision infrarouge|Lecteur de code SBSI-B Lecture de code-barres 1D et codes matrix 2D. Egalement pour les codes difficiles à lire et le marquage direct Capteur d'objet SBSI-Q Contrôle-qualité simple Suivi de position à 360° Algorithmes de reconnaissance rapides et puissants|20308|festo|1541250717621-ab76e033-31f6-413b-a0ba-ea6d709c8560|DONE
1000084|SBOx-M|capteur de vision compact|Systèmes intelligents de caméra compacte pour le diagnostic et la surveillance de fonctionnement de déroulements séquentiels des mouvements rapides.|20308|festo|1541250721193-6fe88acc-6101-4f6a-a133-9657b19f4687|DONE
1000085|SBOx-Q|capteur de vision couleur / compact|Caméras intelligentes pour le positionnement de précision d'arbres, l'identification de type, la reconnaissance de position et le contrôle de qualité 2-D de pièces en mouvement ou au repos.|20308|festo|1541250724712-62214ae2-ed24-4df2-8029-9da07c23193c|DONE
1000086|JUMPFLEX® 857 series|conditionneur de signal sur rail DIN / configurable|Les convertisseurs de mesure JUMPFLEX® disposent d'un concept de boîtier probant avec des possibilités de pontage inter produits à chaque point de serrage, huit connexions Push-in CAGE CLAMP® ainsi qu'un pas de seulement 6,0 mm. Ces caractéristiques jouent un rôle décisif comme base d'une solution globale réussie. Combinées avec une isolation fiable, une large plage de température de fonctionnement des signaux à commutation calibrée, appariés avec des données techniques prééminentes, des produits bien pensés voient le jour, illustrant les synergies et offrant des économies potentielles.|20314|wago|1541250728613-7f329be0-fbb9-40c1-93e5-24cb07e24643|DONE
1000087|8895015 series|convertisseur de signal régulateur de température / sur rail DIN|Compatible avec les entrées analogiques du Millenium 3 Permet de diversifier le type de capteurs pour les entrées analogiques|20315|crouzet|1541250732375-19fa8c49-e15a-41b7-9865-168a5a67be96|DONE
1000088|SVE4|convertisseur de signal impulsion / transmetteur / sur rail DIN|Plage du signal 0 ... 10 V 0 ... 20 mA pour les capteurs de position SMH-S1-HG… Sortie de commutation 2x PNP 2x NPN Fonction de commutation paramétrable librement LED de l'état de commutation Montage directe sur rail DIN ou en utilisant une plaque d'adaptation|20315|festo|1541250735958-a68d5efa-6104-466b-8bf2-b1c0fde02ed8|DONE
1000089|Man Plus|enregistreur de données de température / de pression / USB / sans fil|Appareil de mesure Service Man PlusAppareil avec 2 entrées analogiques et une entrée CAN. Muni d'une nano clé USB de 2 Go permettant d'enregistrer des mesures. Affichages des valeurs mini et maxi Alimentation par batterie lithium.|20316|Parker|1541250739640-33741ec9-fd02-41da-9218-1214d7c4f377|DONE
