product_id|model|label|description|category_id|brand|image
1000001|PF20H|capteur de débit calorimétrique|Capable du NEP sans limitations à 150 °C / 24h Large portefeuille de raccords process Mesure de débit et température dans un capteur Compacts et robustes Disponible avec IO-Link interface|10101|Baumer Group|http://img.directindustry.fr/images_di/photo-m2/179-12711090.jpg
1000002|PF20S|capteur de débit calorimétrique|Mesure de débit et température dans un capteur Signaux de sortie binaires or analogiques Compacts et robustes Disponible avec IO-Link interface|10101|Baumer Group|http://img.directindustry.fr/images_di/photo-m2/179-12711112.jpg
1000003|EE671|capteur de débit à couche mince|Le EE671 est une sonde de vitesse d'air compacte pour application HVAC. La conception de l'élément sensible VTQ combine les avantages de la technologie couche mince d'avant garde de E+E et la technologie de moulage par injection la plus ...|10101|E+E ELEKTRONIK|http://img.directindustry.fr/images_di/photo-m2/13965-9614543.jpg
1000004|SITRANS FCT010|transmetteur de débit compact|Le SITRANS FCT010 est un transmetteur de débit Coriolis très petit mais puissant, développé spécialement pour l'intégration numérique directe dans des systèmes d'automatisation de processus. Son design ...|10102|Siemens Process Instrumentation|http://img.directindustry.fr/images_di/photo-m2/18343-12009383.jpg
1000005|SITRANS F M MAG 5000|transmetteur de débit électromagnétique|Le SITRANS F M MAG 5000 est un transmetteur microprocessorisé. Il est performant et garantit un montage aisé ainsi qu'une mise en service et une maintenance sans problème. Il est robuste, bon marché, adapté à des applications ...|10102|Siemens Process Instrumentation|http://img.directindustry.fr/images_di/photo-m2/18343-2998073.jpg
1000006|SITRANS F M MAG 6000|transmetteur de débit électromagnétique|Le SITRANS F M MAG 6000 est un transmetteur microprocessorisé. Il est performant et caractérisé par une extrême simplicité d’installation, une mise en service et une maintenance sans problème. Il est robuste et convient ...|10102|Siemens Process Instrumentation|http://img.directindustry.fr/images_di/photo-m2/18343-2998113.jpg
1000007|SL0, SL5 series|contrôleur de débit pour air|Surveillance fiable du débit d’air jusqu’à 10 m/s Écran LED lisible Sortie de signaux via relais Variantes AC et DC Boîtier particulièrement peu encombrant|10103|ifm electronic|http://img.directindustry.fr/images_di/photo-m2/544-11947427.jpg
1000008|SR, SN, SF, SP series|contrôleur de débit pour liquide|Pour le raccordement de capteurs avec grande profondeur d'immersion Utilisable pour des capteurs en céramique, V4A et titane Plage de mesure légèrement évolutive grâce à la touche Teach Affichage du flux et du point de ...|10103|ifm electronic|http://img.directindustry.fr/images_di/photo-m2/544-10286754.jpg
1000009|FS-600 series|contrôleur de débit thermique||10103|GEMS SENSORS & CONTROLS|http://img.directindustry.fr/images_di/photo-m2/19944-8410050.jpg
1000010|DW 182|débitmètre en acier inoxydable|Contrôleur de débit DW 182 Le contrôleur de débit en ligne DW 182 convient aux conduites horizontales et verticales. Il est équipé de raccordements à bride de DN15 à DN65 ou de ½"" à 2½"". Le tube de mesure et le raccordement sont ...|10104|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12310239.jpg
1000011|DW 184|débitmètre en acier inoxydable|Contrôleur de débit DW 184 Le contrôleur de débit à insertion DW 184 contrôle la vitesse d'écoulement. Il est adapté aux conduites horizontales et verticales d'un diamètre nominal de 250 mm/10"" ou supérieur - pas de diamètre maximum. ...|10104|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12310398.jpg
1000012|DW 183|débitmètre sur mesure|Contrôleur de débit DW 183 Le contrôleur de débit en ligne DW 183 convient aux conduites horizontales et verticales. Il est équipé de raccordements à bride allant de DN65 à DN200 ou de 2½"" à 8"". Le tube de mesure et le raccordement ...|10104|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12310883.jpg
1000013|SPC|compteur volumétrique||10105|HENGSTLER|http://img.directindustry.fr/images_di/photo-m2/5789-9784256.jpg
1000014|SPP-638|compteur volumétrique||10105|SIMEX Sp. z o.o.|http://img.directindustry.fr/images_di/photo-m2/37901-10270895.jpg
1000015||compteur volumétrique||10105|Etatron D.S.|http://img.directindustry.fr/images_di/photo-m2/16443-10553952.jpg
1000016|SUMMIT 8800|calculateur de débit||10106|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12310138.jpg
1000017|SH series|capteur de mesure de vitesse de l'air|Les sondes de vitesse à hélice Kimo mesurent la vitesse d’air et la température. Elles offrent différentes gammes de mesure, selon le diamètre de l’hélice.|10106|KIMO|http://img.directindustry.fr/images_di/photo-m2/11846-12075213.jpg
1000018|FLUICAL™|calibrateur de pression||10106|Bronkhorst|http://img.directindustry.fr/images_di/photo-m2/15524-11719828.jpg
1000019|DST P92S|capteur de pression 4-20 mA||10107|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-11461892.jpg
1000020|PM26, PL26 series|capteur de pression relative|Cellule de mesure en céramique résistante à la surcharge Résiste aux pointes de pression et au vide Montage rapide et fonctionnement sans maintenance Sortie analogique évolutive Commande intuitive, ...|10107|ifm electronic|http://img.directindustry.fr/images_di/photo-m2/544-11946110.jpg
1000021|PIM693, PIM694|capteur de pression relative|... détection de la pression Diagnostic fiable de perturbations dans la zone d'aspiration et détection des cavitations Détection de liquide à émission gazeuse ou d'entrée d'air dans la pompe Contrôle intrinsèque ...|10107|ifm electronic|http://img.directindustry.fr/images_di/photo-m2/544-11946550.jpg
1000022|1200, 1600 series|transducteur de pression relative||10108|GEMS SENSORS & CONTROLS|http://img.directindustry.fr/images_di/photo-m2/19944-8409285.jpg
1000023|2200, 2600 series|transducteur de pression relative||10108|GEMS SENSORS & CONTROLS|http://img.directindustry.fr/images_di/photo-m2/19944-8409325.jpg
1000024|6700 series|transducteur de pression relative||10108|GEMS SENSORS & CONTROLS|http://img.directindustry.fr/images_di/photo-m2/19944-8409387.jpg
1000025|DST P92S series|transmetteur de pression relative||10109|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-12228024.jpg
1000026|MBS 32 series|transmetteur de pression relative|Les transmetteurs de pression MBS 32 sont conçus pour être utilisés dans quasiment toutes les applications industrielles et offrent une mesure de pression fiable, même dans des conditions ...|10109|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-12228027.jpg
