product_id|model|label|description|category_id|brand|image|status
1000121|753 series|module d'entrée numérique / multivoies / 4 canaux / sur rail DIN|Aperçu des bornes d'entrées digitales pour le système WAGO-I/O-SYSTEM. Les bornes de bus sont également disponibles avec niveau de câblage enfichable (série 753).Bornes d'entrées digitales à 2 canauxDC 24 V, 48 V, 60 V, 110 V, 220 VAC 24 V, 42 V, 120 V, 230 VNPN/PNP, 0,2 ms/3,0 ms/10 ms filtre, diagnosticBornes d'entrées digitales à 4 canaux5 V DC à 24 V DCAC 24 V, 42 V, 120/230 VNPN/PNP, 0,2 ms/3,0 ms/10 ms/20 ms/50 ms filtreBornes d'entrées digitales à 8 canaux5 V DC 14 V, 24 VNPN/PNP, 0,2 ms/3,0 ms filtreBornes d'entrées digitales à 16 canauxDC 24 V, NPN/PNP, 0,2 ms/3,0 ms filtreCâble plat : DC 24 V, NPN/PNP, 3,0 ms filtreBornes digitales spécifiquesNAMURTemporisation des impulsionsBorne d'entrées digitales pour capteurs d'intrusion|30117|wago|1545131247663-e30660dd-a11d-4ef8-8a0f-5ebf1b3109ac|DONE
1000122|U-Remote series|module d'entrée analogique / sur rail DIN|Les modules d'entrée analogiques du système u-remote sont disponibles en nombreuses versions avec diverses solutions de résolutions et de câblage.<br> Versions disponibles avec résolution de 12 et 16 bits , enregistrant jusqu' à ; 4 capteurs analogiques avec +/-10 V, +/-5 V, 0...10 V, 0...5 V, 2...10 V, 1...5 V, 0...20 mA ou 4...20 mA avec précision maximale. Chaque connecteur débrochable peut connecter en option des capteurs à technologie 2 ou 3 fils. Les paramètres de la plage de mesure peuvent être régler individuellement pour chaque canal. De plus chaque canal possède sa propre LED d'état.<br> Une version particulière des unités d'interface Weidmüller permet des mesures de courant avec résolution 16 bits et une précision maximale pour 8 capteurs simultanément (0...20 mA ou 4...20 mA).<br> <br> Le module électronique alimente en courant les capteurs connectés au canal de courant d'entrée (UEntrée).|30117|Weidmüller|1545131254489-182a2392-c86b-419a-8bec-8a0ad24ed480|DONE
1000123|753 series|module de sortie numérique / 16 canaux / à montage sur rail DIN|Aperçu des bornes de sorties digitales pour le système WAGO-I/O-SYSTEM. Les bornes de bus sont également disponibles avec niveau de câblage enfichable (série 753):Bornes de sorties digitales à 2 canaux24 V DC à 230 V DC0,5 A/2 A, diagnostic (rupture de câble/court-circuit)AC 230 V, SSR, 0,5/3,0 ABornes de sorties digitales à 4 canaux5 V DC, 24 V, 0,5 ANPN/PNP, diagnosticAC 120/230 V, 0,25 ABornes de sorties digitales à 8 canauxDC 5 ... 14 V, 24 V, 0,5/1 ANPN/PNP, diagnosticBorne d'entrées/de sorties digitales à 8 canauxDC 24 V 0,5 ACâble plat : DC 24 V, 0,5 ABornes de sorties digitales à 16 canauxDC 24 V, 0,5 A, NPN/PNPCâble plat : DC 24 V, 0,5 A, NPN/PNPBorne de sortie à 1 canal avec relaisAC 230 V, 16 A1 relais 1 T, sans potentielForçage manuel relaisBorne de sortie à 2 canaux avec relaisAC/DC 0/230 V2 T / 2 RT, sans potentiel/avec potentiel|30118|wago|1545131262682-51cfdedc-41ef-4c7c-9ef7-45e6239dfac0|DONE
1000124|u-remote series|module de sortie analogique / à montage sur rail DIN|Le module de sortie analogique contrôle jusqu'à 4 actionneurs analogiques avec +/-10 V, +/-5 V, 0...10 V, 0...5 V, 2...10 V, 1...5 V, 0...20 mA ou 4...20 mA avec une précision de 0,05 % sur la valeur finale de la plage de mesure. Un actionneur avec technologie 2, 3 ou 4 fils peut être connecté à chaque connecteur débrochable. La plage de mesure est définie canal par canal à l'aide du paramétrage. De plus chaque canal possède sa propre LED d'état.<br> <br> Les sorties sont alimentées par le trajet du courant de sortie (Usortie).|30118|Weidmüller|1545131268457-43028028-2af3-4a2f-9b2a-723d1914204b|DONE
1000125|IQAN-G11|modem de données / Bluetooth / d'extérieur|L'IQAN-G11 est un adaptateur Bluetooth qui permet d'établir une connexion sans fil aux modules de commande maître à l'aide de votre smartphone ou tablette. Il peut être utilisé sur site (diagnostic) ou hors site (connectivité via Internet).|30120|wago|1545131274922-5b99677d-5c1e-4b2c-929b-652cca34c73f|DONE
1000126|TO-PASS® series|modem de données / GSM / GPRS / Ethernet|Le routeur TO-PASS® réunit en un seul appareil une transmission de données GPRS / EDGE, un routeur VPN (Virtual Private Network) et un pare-feu. De cette façon, les données hautement sensibles peuvent être transmises sans fil et de manière efficace à partir du réseau GSM. Une protection supplémentaire de l'application contre un accès non autorisé est garantie par l'intermédiaire du pare-feu intégré ce qui permet une combinaison parfaite de la sécurité et flexibilité. La gestion intelligente de la communication garantit une grande stabilité et une grande disponibilité de la liaison. Des stations distantes seront ainsi reliées à un réseau IP sans complication.<br> <br> Le modem TO‐PASS® remplace un modem de numérotation standard ou de ligne commutée avec commandes AT. Les applications permettent une communication bidirectionnelle avec une centrale ou entre elles grâce à une transmission GPRS. Pour établir la communication et la connexion, il faut prévoir une station à distance appropriée pour TSC. Par une interface série RS‐-232, ce modem GPRS permet l'implémentation aisée dans des infrastructures techniques prévues.|30120|wago|1545131279829-b45f16ed-d416-444c-834d-4292164e02c0|DONE
1000127|Weidmüller|routeur WAN / LAN / internet / 3G|Routeur de sécurité industriel puissant, avec pare-feu intégré<br> <br> • Ports 2 Gigabit (LAN/WAN)<br> • NAT masquerading, mappage réseau 1:1 et redirection de port<br> • Fonction VPN (OpenVPN et IPsec)<br> • Commande à touche pour activer/désactiver les connexions WAN/VPN<br> • Version avec modem 3G/UMTS intégré pour un accès mobile haut-débit basé sur Internet (1345250000, IE-SR-2GT-UMTS/3G)<br> • Version sans fonction VPN pour NAT et applications de sécurité (1489940000, IE-SR-2GT-LAN-FN)|30121|Weidmüller|1545131285594-6ba427db-b42c-4820-842e-634b17908b9f|DONE
1000128|852-30x series|commutateur Ethernet administrable / 8 ports / redondant / industriel|Entre d'autres caractéristiques, a contrôlé des commutateurs de WAGO fournissent des fonctions complètes de sécurité, aussi bien qu'émission et largeur de bande limitant pour la solution réseau rentable, stable et superflue industrielle d'exigence d'applications.<br> Les commutateurs industriels individuellement configurables d'Ethernet sûrement réseau 852-303 et 852-1305 tous les noeuds d'ETHERNET et assurer l'accès continu à vos machines et systèmes. «&nbsp;Enjambement rapide - arbre&nbsp;», «&nbsp;connexion à double anneau&nbsp;», «&nbsp;double anneau&nbsp;», «&nbsp;Jet Ring&nbsp;» et les protocoles rapides «&nbsp;d'anneau de Xpress&nbsp;» permettent pour créer des structures de réseau superflu pour garantir la communication protégée même lorsque les connexions sont défectueuses.<br> Assurez la disponibilité de système et empêchez le temps d'arrêt cher<br> Les commutateurs industriels de WAGO avec leur alimentation d'énergie superflue et redondance réglable d'anneau assurer de transmission de données non interruptible. La disponibilité de productivité et de réseau de vos machines et systèmes est toujours assurée. En plus de ses petites dimensions, la fonctionnalité et le débit de transmission élevé complets de données à jusqu'à 1 GBit/s, les commutateurs contrôlés de WAGO sont le distributeur idéal de données pour votre réseau.|30122|wago|1545131290197-eae2d5a3-fcf9-4938-bae1-e5ba797d3ece|DONE
1000129|BasicLine series|commutateur Ethernet non administrable / 5 ports / 8 ports|La gamme Basic Line Weidmüller se compose de commutateurs Plug and Play non-manageable dans un boîtier en aluminium IP30 robuste. Les appareils sont disponibles avec des ports Fast Ethernet et Ethernet gigabit. Une variante est équipée de ports Fast Ethernet et Power over Ethernet. Tous l'équipement a été développé pour être utilisé dans des environnements industriels difficiles et disposent d'agréments internationaux tels que CE, cULus, Classe I Div.2 / ATEX et DNV / GL et peut par conséquent être utilisé dans de nombreuses applications internationales.<br> <br> <br> Commutateurs Plug &amp; Play livrés dans un boîtier solide en aluminium (IP30)<br> Conception compact<br> Commutateurs pour une solution d'entrée économique<br> Versions Fast Ethernet avec 5 et 8 ports<br> Modèles avec interface en cuivre ou fibre optique (multimode et monomode)<br> Commutateur entièrement Gigabit Plug and Play avec 5 ports<br> Commutateur Power over Ethernet (PoE) avec 6 ports Fast Ethernet, dont 4 ports PoE+<br> Agréments : CE, FCC, cULus, Classe I Div.2 / ATEX, DNV / GL|30122|Weidmüller|1545131295722-b532d52a-bf98-460a-b435-88a4b6c74126|DONE
1000130|FLEXSCAPE|HMI à écran tactile / encastrable / VIA / de contrôle|Mise au point complexe de la machine, comme par exemple une machine de moulage par injection ou une fraiseuse ont besoin d’un degré de précision élevé. Cela vaut pour la machine comme également pour l’opérateur. Au cours du réglage des machines et des installations, un système est interrogé qui réagit rapidement et se comporte de façon confortable pour ce qui concerne la manipulation.<br> <br> Pour un ajustage fin et grossier exact et rapide de par ex. l’avance, le régime, le temps de cycle, les réglages de température ou de pression d’injection, un élément supplémentaire peut être maintenant apporté sur la face avant tactile. Le revêtement céramique optionnel du capteur rotatif / transducteur de pression, résiste aux exigences les plus dures, l’élément rotatif est individualisable sur demande. 24 crantages assurent un renvoi haptique fiable, la confirmation se fait via la fonction Push habituelle.|30124|IFM|1545131300820-646bac04-0f34-41dc-80fd-618d234da15d|DONE
